month,stop_id,stop_name,boardings,alightings
2023-03,262,North & Simpson,29,115
2023-03,263,North & Woodward,10,98
2023-03,264,North St & Hawley street,36,308
2023-03,295,North & Stewart/Hawley,266,37
2023-03,296,North & Woodward,36,36
2023-03,297,North & Simpson,62,17
2023-03,298,North & Westnedge,96,101
2023-03,299,Ransom & Church,72,205
2023-03,300,Ransom & N. Rose,4,5
2023-03,515,Rose & Vine,4,14
2023-03,516,Rose & Walnut,2,5
2023-03,517,Rose & South,121,159
2023-03,518,Walnut & Burdick,241,516
2023-03,562,Walnut & Burdick,427,152
2023-03,563,Kalamazoo & Greenwich,34,21
2023-03,564,Kalamazoo & Elm,103,154
2023-03,565,Kalamazoo & Stuart,129,128
2023-03,605,W. Main & Catherine,44,90
2023-03,606,W. Main & RR Tracks,78,162
2023-03,607,North & Park,6,35
2023-03,628,Lovell & Westnedge,158,65
2023-03,629,Lovell & Oak,67,231
2023-03,630,Lovell & Davis,125,99
2023-03,640,South & Oak,220,102
2023-03,641,South & Westnedge,5,64
2023-03,776,Portage at South (NW Corner),58,10
2023-03,785,Oakland & Academy,49,35
2023-03,788,Ransom & N. Park,1068,1062
2023-03,799,Rose & Walnut,0,2
2023-03,1004,Kalamazoo Transit Center,51377,47177
2023-03,1011,Kalamazoo Transit Center,2255,2354
2023-03,1062,E. Michigan & S. Pitcher,87,60
2023-03,1067,W. Michigan & Academy,151,132
2023-03,1079,Rose St & Butler,4,120
2023-03,1082,S Rose St & Vine,21,15
2023-03,1084,Lovell & S. Burdick,16,29
2023-04,1,Rose at Water (NW Corner),3095,2887
2023-04,2,Rose at Michigan (SW side),262,114
2023-04,3,Rose at South (SW Corner),154,153
2023-04,4,Lovell at St. Johns (NE Corner),15,15
2023-04,5,Westnedge at Lovell (SW side),205,114
2023-04,6,Westnedge at Walnut (NW corner),146,100
2023-04,7,Westnedge at Vine (NW Corner),576,503
2023-04,51,Park at W. Vine (SE Corner),397,412
2023-04,52,Park at 519 Walnut,119,227
2023-04,53,Park at Lovell (SE Corner),26,104
2023-04,54,Park at South (NE Corner),62,478
2023-04,96,Portage at Walnut (SE Corner),104,148
2023-04,137,Kalamazoo & Park Street,40,64
2023-04,182,Michigan &,39,243
2023-04,184,Rose & Water,66,484
2023-04,210,Burdick & North,11,17
2023-04,260,North & N. Park,28,141
2023-04,261,North & Westnedge,47,162
2023-04,262,North & Simpson,12,130
2023-04,263,North & Woodward,10,69
2023-04,264,North St & Hawley street,35,237
2023-04,295,North & Stewart/Hawley,219,17
2023-04,296,North & Woodward,19,26
2023-04,297,North & Simpson,86,15
2023-04,298,North & Westnedge,59,102
2023-04,299,Ransom & Church,40,165
2023-04,300,Ransom & N. Rose,3,10
2023-04,515,Rose & Vine,6,12
2023-04,516,Rose & Walnut,1,1
2023-04,517,Rose & South,77,149
2023-04,518,Walnut & Burdick,231,537
2023-04,562,Walnut & Burdick,492,161
2023-04,563,Kalamazoo & Greenwich,44,15
2023-04,564,Kalamazoo & Elm,102,127
2023-04,565,Kalamazoo & Stuart,153,113
2023-04,605,W. Main & Catherine,34,91
2023-04,606,W. Main & RR Tracks,80,140
2023-04,607,North & Park,6,24
2023-04,628,Lovell & Westnedge,149,63
2023-04,629,Lovell & Oak,81,185
2023-04,630,Lovell & Davis,102,93
2023-04,640,South & Oak,206,122
2023-04,641,South & Westnedge,7,68
2023-04,776,Portage at South (NW Corner),60,13
2023-04,785,Oakland & Academy,6,10
2023-04,788,Ransom & N. Park,897,1134
2023-04,799,Rose & Walnut,0,2
2023-04,1004,Kalamazoo Transit Center,46656,42912
2023-04,1011,Kalamazoo Transit Center,2120,2228
2023-04,1062,E. Michigan & S. Pitcher,112,42
2023-04,1067,W. Michigan & Academy,1,2
2023-04,1079,Rose St & Butler,1,61
2023-04,1082,S Rose St & Vine,8,20
2023-04,1084,Lovell & S. Burdick,3,35
2023-05,1,Rose at Water (NW Corner),3165,3098
2023-05,2,Rose at Michigan (SW side),281,133
2023-05,3,Rose at South (SW Corner),168,171
2023-05,4,Lovell at St. Johns (NE Corner),47,48
2023-05,5,Westnedge at Lovell (SW side),199,97
2023-05,6,Westnedge at Walnut (NW corner),124,111
2023-05,7,Westnedge at Vine (NW Corner),677,596
2023-05,51,Park at W. Vine (SE Corner),504,464
2023-05,52,Park at 519 Walnut,99,199
2023-05,53,Park at Lovell (SE Corner),30,151
2023-05,54,Park at South (NE Corner),61,460
2023-05,96,Portage at Walnut (SE Corner),104,193
2023-05,137,Kalamazoo & Park Street,49,82
2023-05,182,Michigan &,16,127
