quarter,businesses,floor_space_sf,space_occupancy_rate,travel_time_delay_pct,source
2023-Q3,,,0.949,,Q3-2024 report comparison table
2023-Q4,,,0.951,,Q3-2024 report comparison table
2024-Q3,1577,40038744,0.942,,Study site summary table (April 2025)
2024-Q4,1577,40038744,0.942,,Study site summary table (April 2025)
2025-Q2,1584,40049764,0.95,0.068,Report_08 2026 Q2 scorecard
2026-Q1,1583,40112921,0.951,0.218,Report_08 2026 Q2 scorecard
2026-Q2,1582,40104921,0.95,0.067,Report_08 2026 Q2 scorecard
